area,rooms,subway_distance,price
138.2269,1,0.2294,79.6550
141.5004,4,1.5774,84.4474
88.2864,3,4.6053,54.9778
145.9306,1,3.4739,79.5632
89.0448,3,2.3757,57.7665
110.0895,2,0.9927,66.1277
75.6572,1,0.9705,50.0404
129.3641,3,0.2606,78.3741
144.0771,1,1.6851,83.6474
63.3186,4,3.3443,44.1375
143.4598,1,4.0941,77.2125
109.3580,5,3.6542,67.6553
136.9404,2,0.2901,82.3948
106.7715,2,0.9966,61.6373
124.1094,1,2.1055,70.6283
92.9404,5,4.9184,57.0111
138.5443,1,2.8616,78.5185
107.3904,5,1.8526,76.0312
76.6580,2,3.5343,48.1708
112.7449,4,1.5478,74.7699
76.9632,5,0.8819,58.0257
94.1364,2,4.3247,53.1467
79.6921,3,1.3632,55.9119
133.1685,2,1.9988,74.6792
60.5315,1,0.0130,45.7185
76.9495,5,4.1732,55.8850
85.8813,1,4.3941,50.1095
69.9364,3,3.4111,45.9637
104.7192,5,0.7568,71.9807
50.6160,2,0.0327,40.6693
145.1555,3,0.4696,84.4260
57.5266,4,4.3643,38.5300
138.6014,2,3.7003,76.7779
108.3210,1,4.6038,58.5828
83.7648,2,3.8097,50.2413
130.8975,4,3.1327,79.7365
107.7925,2,2.4755,65.9538
140.3982,4,0.5987,87.6659
105.4660,1,0.3581,65.7687
84.2313,2,0.1616,55.7574
113.4342,5,3.5234,71.7047
86.4410,1,1.2726,53.9292
121.0429,1,1.9969,72.8495
144.6411,5,1.0612,91.0789
128.9030,1,2.0444,74.6016
78.1414,3,0.7404,57.2218
128.8632,1,0.8665,74.9625
108.9463,4,3.3293,69.6481
125.3918,4,1.7570,78.4511
69.5247,3,4.0434,42.0273
50.5046,3,1.6980,39.4943
80.6820,3,0.6661,58.7540
61.6489,2,2.0589,40.1482
141.0269,4,1.2881,87.3317
114.4016,3,1.7351,70.7739
120.7107,3,0.1200,73.6924
115.8131,2,3.8987,64.9259
99.1302,4,0.7595,67.2237
139.1304,1,3.7565,78.6694
64.4743,4,3.6345,44.2817
103.1482,2,4.2861,62.9456
65.8730,1,0.5824,47.4531
115.4176,4,4.2980,69.3180
82.7809,3,1.3181,55.0625
115.3208,4,3.4277,71.3360
89.5829,4,4.8478,52.9979
141.4696,5,2.1474,89.3467
70.3649,4,2.4807,49.4054
70.1801,3,1.9244,47.7665
70.1783,1,0.4125,46.8029
144.9721,1,3.6998,83.2248
116.6626,5,0.0182,81.7131
148.1125,4,4.0520,89.0704
58.7362,2,4.3706,37.9018
50.4062,3,4.8643,35.8936
60.8818,5,1.9103,48.5888
66.3655,3,0.4459,48.2346
120.2520,2,3.0621,67.1714
117.9038,4,3.8811,68.5644
141.5462,3,0.0117,87.6525
74.1787,4,1.9325,53.1711
65.9144,3,1.0014,46.5802
126.5289,2,2.2813,71.4022
79.7898,1,1.2695,48.8199
130.3462,1,1.4781,75.0054
88.1350,2,1.7064,53.3797
128.6023,1,0.1242,74.5944
61.1516,1,4.5513,34.9339
74.7675,2,4.5958,46.4147
115.2438,5,2.1078,74.1749
110.5704,3,2.2153,68.2677
87.2521,5,1.4797,61.3289
129.8035,3,0.2423,82.4274
133.9905,1,0.0671,75.7297
63.7413,3,3.4291,44.7012
73.3066,4,1.1274,55.2536
145.7831,4,0.8928,89.2687
83.1284,2,2.3049,51.5541
82.2742,2,1.6675,52.2495
51.6203,5,1.6912,44.8269
